poviat,unemployment,age,feminization,services,retirees,soc_assistance,marriages,city,working_age,Duda_majority
głogowski,7.1,41.8,106,33.12838884585592,18.66624767120828,377.9708728199143,0.14871720051177303,0,58.9,1
głubczycki,9.1,43.6,105,33.69766416923755,19.61494555672638,1121.1186962153145,0.1474139445029856,0,60.9,1
gnieźnieński,3.5,40.0,104,28.31409038041474,16.544719360739386,323.3797384780426,0.14518835357383542,0,59.8,0
goleniowski,5.2,40.6,102,22.07653417731925,16.18640880358161,384.69688210528875,0.12835321095351912,0,61.3,0
golubsko-dobrzyński,10.0,39.3,102,17.83999409027111,15.662623839353147,416.0312901506064,0.14567506330801014,0,61.7,1
gołdapski,9.7,39.6,101,28.00249882867406,15.718086102888831,368.7659174191614,0.10191464648357001,0,61.5,0
gorlicki,4.6,39.8,102,18.31442463533225,16.477784104476243,415.3987305989751,0.146419190713223,0,60.8,1
gorzowski,3.5,40.0,102,16.605357235376406,14.572080850826884,492.10207208085086,0.11853388273289159,0,62.5,0
Gorzów Wielkopolski,2.3,42.4,111,41.20259814690993,19.867485377278353,395.0986585928209,0.13391419718628902,0,58.1,0
gostyniński,12.0,42.7,106,30.784313725490197,18.875698790618944,517.1414753112542,0.14410120492661307,0,60.5,1
gostyński,4.8,39.2,102,19.707394226967182,15.675554618749011,439.19131106075776,0.15001053907361542,0,60.9,1
górowski,14.2,40.6,102,24.83050847457627,17.112130771436764,491.4867837682821,0.144766274734729,0,60.9,1
grajewski,11.9,40.9,102,22.131339097920076,16.63842406269858,334.2979894090235,0.14647320482948528,0,62.2,1
grodziski,2.4,40.5,109,32.9995739241585,16.57722247116076,329.55707929097673,0.10555109781895106,0,58.6,0
grodziski,3.2,37.6,101,18.151034668099975,13.890120054727998,215.14621182047674,0.14886400863314897,0,61.3,1
grójecki,1.9,41.1,104,19.659349572224695,17.779292246035542,358.2336534060278,0.1451922979117291,0,59.3,1
Grudziądz,8.4,42.9,110,35.10867271576282,19.6804001356392,679.5005554849101,0.1404713462190573,0,58.2,0
grudziądzki,10.6,39.2,100,15.303430079155673,14.396838809085938,364.7905696108157,0.14811869377205628,0,62.2,1
gryficki,8.3,41.1,102,36.29873695771554,16.772566650629592,702.9187167576356,0.13749854836836603,0,61.4,0
gryfiński,7.6,41.2,102,33.809728270870394,16.702083485992038,546.33144012115,0.134913656237024,0,61.5,0
hajnowski,6.8,47.1,106,25.254312251216277,24.26660408354846,487.69204107017134,0.1464679652663694,0,57.0,0
hrubieszowski,13.3,43.1,104,20.38607780052647,20.22690024981304,282.3289582637198,0.1606122806180088,0,60.3,1
iławski,4.4,39.5,102,20.763130002558388,15.58586978757308,483.19943582510587,0.1428309951657533,0,60.9,1
inowrocławski,11.0,42.3,106,28.916863107244403,17.917078603877005,519.1315495513534,0.1393682656087702,0,61.2,0
janowski,8.5,41.7,102,14.48436288446627,18.532455315145814,364.0938896059857,0.15231136100111575,0,61.0,1
jarociński,3.7,39.8,105,20.923153692614772,16.40792029400668,390.1662589606361,0.14538239034137754,0,60.2,1
jarosławski,10.0,40.2,105,24.027767221504394,16.871106971483695,392.9728551232047,0.1420742305421341,0,61.7,1
jasielski,9.4,41.3,103,19.55180413643319,17.144116350815338,429.87889343323053,0.14490965182899956,0,62.3,1
Jastrzębie-Zdrój,4.3,43.0,105,27.796258539900563,20.226947477547526,253.34259321862007,0.16781041884993747,0,59.6,1
jaworski,10.6,42.5,104,27.82183696053117,18.461170085401868,533.6990198738926,0.14105275760236252,0,60.5,1
Jaworzno,3.9,43.1,106,31.217743655363616,18.584206771662185,329.9519039675136,0.14160127311639137,0,60.9,0
Jelenia Góra,3.2,45.8,115,43.27209322105979,23.81958234780739,340.61718521141904,0.13170842766977398,0,56.7,0
jeleniogórski,8.2,43.6,107,28.170871055638568,18.90519098614584,644.9614351087419,0.11992263056092843,0,60.8,0
jędrzejowski,6.9,41.8,102,17.94900428066257,19.41343890183769,318.4843811710139,0.15475702456107474,0,59.2,1
kaliski,2.1,40.1,103,12.786334141193027,16.179269144605303,218.25523486618647,0.1378122515838412,0,61.4,1
